Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Argentina,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,98,100,94,99,100,100,99,100,100,99,99,100,99,100,100,100,100,100,100,99,99,99,
Bahamas,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,100,99,100,99,
Barbados,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,98,98,99,99,98,98,97,97,98,97,100,98,98,98,98,98,99,99,99,99,99,99,
Belize,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),94,93,94,92,93,93,93,91,95,95,97,96,97,98,91,97,98,98,97,97,97,97,95,98,
Bolivia (Plurinational State of),Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),94,94,93,91,91,92,94,95,94,96,96,95,96,96,97,97,97,98,98,99,97,99,94,99,
Brazil,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Canada,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Colombia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,99,98,99,99,99,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100
