Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Seychelles,Internal transfers and grants,Million NCU,133,137,139,158,176,183,193,211,220,275,364,380,584,513,563,595,681,748,786,798,"1,090",936,864,966,
Sierra Leone,Internal transfers and grants,Million NCU,"17,312","22,551","28,718","33,391","38,646","46,892","50,632","45,500","53,280","81,390","135,090","147,348","159,606","171,864","303,462","277,767","252,072","226,378","221,044","435,140","539,168","855,440","865,849","1,072,494",
South Africa,Internal transfers and grants,Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","58,377","68,497","78,297","94,460","109,147","122,837","131,828","143,111","150,454","165,926","178,527","190,169","202,808","221,475","242,366","254,774","267,058","287,416",
South Sudan,Internal transfers and grants,Million NCU,,,,,,,,,,,,,,,,,,"2,762","4,523","6,343","6,354","17,075","26,934","33,551",
Togo,Internal transfers and grants,Million NCU,"4,159","4,760","5,449","6,237","7,139","8,172","9,354","10,708","12,257","15,158","26,385","26,375","29,013","22,350","22,802","27,299","28,574","32,929","33,715","28,022","29,901","16,145","21,118","23,468",
Uganda,Internal transfers and grants,Million NCU,"161,819","185,712","222,067","252,372","266,042","229,090","252,870","311,223","362,068","404,711","589,736","630,355","716,648","808,409","850,194","733,412","801,344","719,311","824,600","786,141","1,656,069","1,721,971","1,673,292","1,742,629",
United Republic of Tanzania,Internal transfers and grants,Million NCU,"61,719","106,764","151,808","196,853","297,370","397,886","498,403","468,840","697,970","521,599","603,922","625,913","647,904","745,830","843,756","961,833","1,440,672","1,547,141","1,661,478","1,808,813","831,814","998,823","1,135,179","1,233,833",
Zambia,Internal transfers and grants,Million NCU,165,285,350,320,391,462,611,837,"1,064","1,290","1,516","1,743","1,922","1,982","3,164","3,834","3,705","6,182","5,745","6,784","11,208","10,738","10,730","11,756",
Zimbabwe,Internal transfers and grants,Million NCU,,,,,,,,,,,311,262,290,317,481,274,282,342,589,120,175,317,332,333,
Antigua and Barbuda,Internal transfers and grants,Million NCU,38,45,48,56,52,54,56,57,50,48,60,58,58,55,71,63,54,54,65,59,71,65,74,56,
Argentina,Internal transfers and grants,Million NCU,"6,073","5,615","5,549","6,953","6,265","9,852","12,699","16,671","21,541","28,931","36,634","49,493","63,769","83,680","115,610","164,334","217,318","284,722","366,366","539,660","812,528","1,350,774","2,152,194","5,041,414",
Bahamas,Internal transfers and grants,Million NCU,117,122,127,138,138,148,157,180,206,222,225,230,237,253,252,245,266,334,262,292,330,294,340,328,
Barbados,Internal transfers and grants,Million NCU,166,177,192,237,294,291,307,303,336,341,322,306,389,351,305,298,301,296,297,291,341,424,329,300,
Belize,Internal transfers and grants,Million NCU,29,37,37,39,42,46,55,70,89,84,89,94,95,104,113,119,132,128,132,140,140,156,132,145,
Bolivia (Plurinational State of),Internal transfers and grants,Million NCU,543,581,618,752,786,979,"1,179","1,523","1,804","2,174","2,309","2,866","3,180","3,995","5,050","5,764","6,054","6,660","7,935","8,201","8,636","9,923","7,853","8,512",
Brazil,Internal transfers and grants,Million NCU,"41,610","46,222","54,882","60,292","67,874","72,612","85,326","94,791","108,981","123,570","138,997","151,671","161,518","189,333","213,756","227,056","244,073","256,532","267,287","285,511","312,989","383,380","422,172","462,438",
Canada,Internal transfers and grants,Million NCU,"62,530","67,407","71,749","77,380","82,808","87,804","94,969","101,497","108,648","115,754","122,098","127,137","133,148","137,952","142,223","148,795","153,331","159,547","166,478","174,009","209,942","224,153","220,030","226,206","238,981"
Chile,Internal transfers and grants,Million NCU,"76,691","73,600","71,229","69,607","66,250","103,289","131,772","145,754","169,279","206,471","227,250","222,150","241,872","247,771","262,716","282,144","324,954","331,813","354,508","306,393","660,729","916,909","882,365","571,738","558,263"
Colombia,Internal transfers and grants,Million NCU,"950,120","922,043","1,198,135","1,151,227","3,123,235","3,575,086","3,827,495","4,147,198","4,183,003","4,479,478","5,010,945","5,429,155","3,751,880","3,420,029","3,011,972","2,667,429","2,431,403","2,522,152","4,921,183","4,956,265","7,786,867","16,259,857","12,860,661","12,108,262","13,084,294"
Costa Rica,Internal transfers and grants,Million NCU,"2,186",576,833,"1,002",861,698,"42,450","51,890","84,770","98,934","110,547","53,272","63,786","71,753","75,717","82,386","80,700","73,759","93,330","96,357","123,587","125,820","135,711","89,445",
Cuba,Internal transfers and grants,Million NCU,"1,684","1,797","1,924","2,028","2,089","3,169","3,734","5,792","6,258","7,004","6,241","6,945","5,897","7,050","8,838","10,086","10,003","9,913","9,782","10,206","12,201","68,853","66,330","68,023",
Dominica,Internal transfers and grants,Million NCU,30,24,22,25,25,27,28,29,32,35,39,43,46,44,45,47,52,53,62,55,52,60,74,59,
Dominican Republic,Internal transfers and grants,Million NCU,"5,410","5,872","6,629","5,656","9,018","13,002","15,031","18,593","19,900","21,392","26,373","31,658","33,619","37,404","37,577","38,585","41,876","45,471","46,936","54,912","71,449","98,300","78,884","90,234",
Ecuador,Internal transfers and grants,Million NCU,99,185,255,388,487,581,695,736,954,"1,054","1,288","1,423","1,793","2,154","2,466","2,542","2,581","2,907","3,104","2,985","2,901","3,278","3,180","3,291",
El Salvador,Internal transfers and grants,Million NCU,231,241,247,248,263,288,323,338,367,360,420,548,520,599,584,616,633,620,647,688,866,"1,207","1,178","1,063",
