variable code,variable name,long code (GHED data explorer),category 1,category 2,unit,currency,Method of measurement (INDICATORS category1),
location,Countries and territories name,-,-,-,-,-,-,
code,Countries and territories ISO3 code ,-,-,-,-,-,-,
region,Region (WHO),-,-,-,-,-,-,
income,Country income group 2021 (World Bank),-,-,-,-,-,-,
year,Year,-,-,-,-,-,-,
hc511_gghed_usd,"Domestic General Government Expenditure on Prescribed medicines, in million current US$",sha11.HC.5.1.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc512_gghed_usd,"Domestic General Government Expenditure on Over-the-counter medicines, in million current US$",sha11.HC.5.1.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc513_gghed_usd,"Domestic General Government Expenditure on Other medical non-durable goods, in million current US$",sha11.HC.5.1.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc52_gghed_usd,"Domestic General Government Expenditure on Therapeutic appliances and Other medical goods, in million current US$",sha11.HC.5.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc5nec_gghed_usd,"Domestic General Government Expenditure on Unspecified medical goods (n.e.c.), in million current US$",sha11.HC.5.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6_gghed_usd,"Domestic General Government Expenditure on Preventive care, in million current US$",sha11.HC.6_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc61_gghed_usd,"Domestic General Government Expenditure on Information, education and counseling (IEC) programmes, in million current US$",sha11.HC.6.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc62_gghed_usd,"Domestic General Government Expenditure on Immunization Programmes, in million current US$",sha11.HC.6.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
fp3214_gghed_usd,"Domestic General Government Expenditure on Vaccines, in million current US$",sha11.FP.3.2.1.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc63_gghed_usd,"Domestic General Government Expenditure on Early disease detection programmes, in million current US$",sha11.HC.6.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc64_gghed_usd,"Domestic General Government Expenditure on Healthy condition monitoring programmes, in million current US$",sha11.HC.6.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc65_gghed_usd,"Domestic General Government Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current US$",sha11.HC.6.5_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc66_gghed_usd,"Domestic General Government Expenditure on Preparing for disaster and emergency response programmes, in million current US$",sha11.HC.6.6_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6nec_gghed_usd,"Domestic General Government Expenditure on Unspecified preventive care (n.e.c.), in million current US$",sha11.HC.6.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7_gghed_usd,"Domestic General Government Expenditure on Governance, health system & financing administration, in million current US$",sha11.HC.7_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc71_gghed_usd,"Domestic General Government Expenditure on Governance and Health system administration, in million current US$",sha11.HC.7.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc72_gghed_usd,"Domestic General Government Expenditure on Administration of health financing, in million current US$",sha11.HC.7.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7nec_gghed_usd,"Domestic General Government Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current US$",sha11.HC.7.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc9_gghed_usd,"Domestic General Government Expenditure on Other health care services (n.e.c.), in million current US$",sha11.HC.9_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc_ext_usd,"External health expenditure by Health Care Functions, in million current US$",sha11.HC_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc1_ext_usd,"External Expenditure on Curative care, in million current US$",sha11.HC.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc11_ext_usd,"External Expenditure on Inpatient curative care, in million current US$",sha11.HC.1.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc12_ext_usd,"External Expenditure on Day curative care, in million current US$",sha11.HC.1.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc13_ext_usd,"External Expenditure on Outpatient curative care, in million current US$",sha11.HC.1.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc131_ext_usd,"External Expenditure on General outpatient curative care, in million current US$",sha11.HC.1.3.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc132_ext_usd,"External Expenditure on Dental outpatient curative care, in million current US$",sha11.HC.1.3.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc133_ext_usd,"External Expenditure on Specialised outpatient curative care, in million current US$",sha11.HC.1.3.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc139_ext_usd,"External Expenditure on all other outpatient curative care, in million current US$",sha11.HC.1.3.9_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc13nec_ext_usd,"External Expenditure on Outpatient curative care n.e.c., in million current US$",sha11.HC.1.3.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc14_ext_usd,"External Expenditure on Home-based curative care, in million current US$",sha11.HC.1.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc1nec_ext_usd,"External Expenditure on Other curative care, in million current US$",sha11.HC.1.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc2_ext_usd,"External Expenditure on Rehabilitative care, in million current US$",sha11.HC.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc21_ext_usd,"External Expenditure on Inpatient rehabilitative care, in million current US$",sha11.HC.2.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc22_ext_usd,"External Expenditure on Day rehabilitative care, in million current US$",sha11.HC.2.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc23_ext_usd,"External Expenditure on Outpatient rehabilitative care, in million current US$",sha11.HC.2.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc24_ext_usd,"External Expenditure on Home-based rehabilitative care, in million current US$",sha11.HC.2.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc3_ext_usd,"External Expenditure on Long-term care (health), in million current US$",sha11.HC.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc31_ext_usd,"External Expenditure on Inpatient long-term care (health), in million current US$",sha11.HC.3.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc32_ext_usd,"External Expenditure on Day long-term care (health), in million current US$",sha11.HC.3.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc33_ext_usd,"External Expenditure on Outpatient long-term care (health), in million current US$",sha11.HC.3.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc34_ext_usd,"External Expenditure on Home-based long-term care (health), in million current US$",sha11.HC.3.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc3nec_ext_usd,"External Expenditure on Other Long-Term Care, in million current US$",sha11.HC.3.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc4_ext_usd,"External Expenditure on Ancillary services (non-specified by function), in million current US$",sha11.HC.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc41_ext_usd,"External Expenditure on Laboratory services, in million current US$",sha11.HC.4.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc42_ext_usd,"External Expenditure on Imaging services, in million current US$",sha11.HC.4.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc43_ext_usd,"External Expenditure on Patient transportation, in million current US$",sha11.HC.4.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc5_ext_usd,"External Expenditure on Medical goods (non-specified by function), in million current US$",sha11.HC.5_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc51_ext_usd,"External Expenditure on Pharmaceuticals and Other medical durable goods, in million current US$",sha11.HC.5.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc511_ext_usd,"External Expenditure on Prescribed medicines, in million current US$",sha11.HC.5.1.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc512_ext_usd,"External Expenditure on Over-the-counter medicines, in million current US$",sha11.HC.5.1.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc513_ext_usd,"External Expenditure on Other medical non-durable goods, in million current US$",sha11.HC.5.1.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc52_ext_usd,"External Expenditure on Therapeutic appliances and Other medical goods, in million current US$",sha11.HC.5.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc5nec_ext_usd,"External Expenditure on Unspecified medical goods (n.e.c.), in million current US$",sha11.HC.5.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6_ext_usd,"External Expenditure on Preventive care, in million current US$",sha11.HC.6_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc61_ext_usd,"External Expenditure on Information, education and counseling (IEC) programmes, in million current US$",sha11.HC.6.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc62_ext_usd,"External sources of funding on Immunization Programmes , in million current US$",sha11.HC.6.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
fp3214_ext_usd,"External sources of funding on Vaccines, in million current US$",sha11.FP.3.2.1.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc63_ext_usd,"External Expenditure on Early disease detection programmes, in million current US$",sha11.HC.6.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc64_ext_usd,"External Expenditure on Healthy condition monitoring programmes, in million current US$",sha11.HC.6.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc65_ext_usd,"External Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current US$",sha11.HC.6.5_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc66_ext_usd,"External Expenditure on Preparing for disaster and emergency response programmes, in million current US$",sha11.HC.6.6_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6nec_ext_usd,"External Expenditure on Unspecified preventive care (n.e.c.), in million current US$",sha11.HC.6.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7_ext_usd,"External Expenditure on Governance, health system & financing administration, in million current US$",sha11.HC.7_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc71_ext_usd,"External Expenditure on Governance and Health system administration, in million current US$",sha11.HC.7.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc72_ext_usd,"External Expenditure on Administration of health financing, in million current US$",sha11.HC.7.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7nec_ext_usd,"External Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current US$",sha11.HC.7.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc9_ext_usd,"External Expenditure on Other health care services (n.e.c.), in million current US$",sha11.HC.9_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc_pvtd_usd,"Domestic Private Health Expenditure by Health Care Functions, in million current US$",sha11.HC_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc1_pvtd_usd,"Domestic Private Expenditure on Curative care, in million current US$",sha11.HC.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc11_pvtd_usd,"Domestic Private Expenditure on Inpatient curative care, in million current US$",sha11.HC.1.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc12_pvtd_usd,"Domestic Private Expenditure on Day curative care, in million current US$",sha11.HC.1.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc13_pvtd_usd,"Domestic Private Expenditure on Outpatient curative care, in million current US$",sha11.HC.1.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc131_pvtd_usd,"Domestic Private Expenditure on General outpatient curative care, in million current US$",sha11.HC.1.3.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc132_pvtd_usd,"Domestic Private Expenditure on Dental outpatient curative care, in million current US$",sha11.HC.1.3.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc133_pvtd_usd,"Domestic Private Expenditure on Specialised outpatient curative care, in million current US$",sha11.HC.1.3.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc139_pvtd_usd,"Domestic Private Expenditure on all other outpatient curative care, in million current US$",sha11.HC.1.3.9_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc13nec_pvtd_usd,"Domestic Private Expenditure on Outpatient curative care n.e.c., in million current US$",sha11.HC.1.3.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc14_pvtd_usd,"Domestic Private Expenditure on Home-based curative care, in million current US$",sha11.HC.1.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc1nec_pvtd_usd,"Domestic Private Expenditure on Other curative care, in million current US$",sha11.HC.1.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc2_pvtd_usd,"Domestic Private Expenditure on Rehabilitative care, in million current US$",sha11.HC.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc21_pvtd_usd,"Domestic Private Expenditure on Inpatient rehabilitative care, in million current US$",sha11.HC.2.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc22_pvtd_usd,"Domestic Private Expenditure on Day rehabilitative care, in million current US$",sha11.HC.2.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc23_pvtd_usd,"Domestic Private Expenditure on Outpatient rehabilitative care, in million current US$",sha11.HC.2.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc24_pvtd_usd,"Domestic Private Expenditure on Home-based rehabilitative care, in million current US$",sha11.HC.2.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc3_pvtd_usd,"Domestic Private Expenditure on Long-term care (health), in million current US$",sha11.HC.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc31_pvtd_usd,"Domestic Private Expenditure on Inpatient long-term care (health), in million current US$",sha11.HC.3.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc32_pvtd_usd,"Domestic Private Expenditure on Day long-term care (health), in million current US$",sha11.HC.3.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc33_pvtd_usd,"Domestic Private Expenditure on Outpatient long-term care (health), in million current US$",sha11.HC.3.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc34_pvtd_usd,"Domestic Private Expenditure on Home-based long-term care (health), in million current US$",sha11.HC.3.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc3nec_pvtd_usd,"Domestic Private Expenditure on Other Long-Term Care, in million current US$",sha11.HC.3.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc4_pvtd_usd,"Domestic Private Expenditure on Ancillary services (non-specified by function), in million current US$",sha11.HC.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc41_pvtd_usd,"Domestic Private Expenditure on Laboratory services, in million current US$",sha11.HC.4.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc42_pvtd_usd,"Domestic Private Expenditure on Imaging services, in million current US$",sha11.HC.4.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc43_pvtd_usd,"Domestic Private Expenditure on Patient transportation, in million current US$",sha11.HC.4.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc5_pvtd_usd,"Domestic Private Expenditure on Medical goods (non-specified by function), in million current US$",sha11.HC.5_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc51_pvtd_usd,"Domestic Private Expenditure on Pharmaceuticals and Other medical durable goods, in million current US$",sha11.HC.5.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc511_pvtd_usd,"Domestic Private Expenditure on Prescribed medicines, in million current US$",sha11.HC.5.1.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc512_pvtd_usd,"Domestic Private Expenditure on Over-the-counter medicines, in million current US$",sha11.HC.5.1.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc513_pvtd_usd,"Domestic Private Expenditure on Other medical non-durable goods, in million current US$",sha11.HC.5.1.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc52_pvtd_usd,"Domestic Private Expenditure on Therapeutic appliances and Other medical goods, in million current US$",sha11.HC.5.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc5nec_pvtd_usd,"Domestic Private Expenditure on Unspecified medical goods (n.e.c.), in million current US$",sha11.HC.5.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6_pvtd_usd,"Domestic Private Expenditure on Preventive care, in million current US$",sha11.HC.6_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc61_pvtd_usd,"Domestic Private Expenditure on Information, education and counseling (IEC) programmes, in million current US$",sha11.HC.6.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc62_pvtd_usd,"Domestic Private Expenditure on Immunization Programmes, in million current US$",sha11.HC.6.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
fp3214_pvtd_usd,"Domestic Private Expenditure on Vaccines, in million current US$",sha11.FP.3.2.1.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc63_pvtd_usd,"Domestic Private Expenditure on Early disease detection programmes, in million current US$",sha11.HC.6.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc64_pvtd_usd,"Domestic Private Expenditure on Healthy condition monitoring programmes, in million current US$",sha11.HC.6.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc65_pvtd_usd,"Domestic Private Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current US$",sha11.HC.6.5_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc66_pvtd_usd,"Domestic Private Expenditure on Preparing for disaster and emergency response programmes, in million current US$",sha11.HC.6.6_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc6nec_pvtd_usd,"Domestic Private Expenditure on Unspecified preventive care (n.e.c.), in million current US$",sha11.HC.6.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7_pvtd_usd,"Domestic Private Expenditure on Governance, health system & financing administration, in million current US$",sha11.HC.7_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc71_pvtd_usd,"Domestic Private Expenditure on Governance and Health system administration, in million current US$",sha11.HC.7.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc72_pvtd_usd,"Domestic Private Expenditure on Administration of health financing, in million current US$",sha11.HC.7.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc7nec_pvtd_usd,"Domestic Private Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current US$",sha11.HC.7.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hc9_pvtd_usd,"Domestic Private Expenditure on Other health care services (n.e.c.), in million current US$",sha11.HC.9_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,US$,-,
hcri1_usd,"Total pharmaceutical expenditure (TPE), in million current US$",sha11.HC.RI.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS REPORTING ITEMS,Millions,US$,-,
dis_usd,"Current health expenditure by Diseases and Conditions, in million current US$",sha11.DIS,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis1_usd,"Infectious and Parasitic Diseases, in million current US$",sha11.DIS.1,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis11_usd,"HIV/AIDS and Other Sexually Transmitted Diseases (STDs), in million current US$",sha11.DIS.1.1,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis12_usd,"Tuberculosis (TB), in million current US$",sha11.DIS.1.2,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis13_usd,"Malaria, in million current US$",sha11.DIS.1.3,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis16_usd,"Neglected Tropical Diseases (NTDs), in million current US$",sha11.DIS.1.6,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis192_usd,"Disease from coronavirus SARS-CoV-2 (COVID-19), in million current US$",sha11.DIS.1.9.2,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis2_usd,"Reproductive Health, in million current US$",sha11.DIS.2,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis21_usd,"Maternal Conditions, in million current US$",sha11.DIS.2.1,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis22_usd,"Perinatal Conditions, in million current US$",sha11.DIS.2.2,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis23_usd,"Contraceptive Management (Family Planning), in million current US$",sha11.DIS.2.3,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis2nec_usd,"Unspecified reproductive health conditions (n.e.c.), in million current US$",sha11.DIS.2.nec,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis3_usd,"Nutritional Deficiencies, in million current US$",sha11.DIS.3,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis4_usd,"Noncommunicable Diseases (NCDs), in million current US$",sha11.DIS.4,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis5_usd,"Injuries, in million current US$",sha11.DIS.5,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
disnec_usd,"Other and unspecified Diseases and Conditions (n.e.c.), in million current US$",sha11.DIS.nec,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS,Millions,US$,-,
dis_gghed_usd,"Domestic general government health expenditure by Diseases and Conditions, in million current US$",sha11.DIS_gghe-d,HEALTH EXPENDITURE DATA,DISEASES AND CONDITIONS BY SOURCE,Millions,US$,-,
